minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6135376546527518,31.923198789310987,15.958186870723008,35.98019367212886,6.9862025275766175,9.785196414712342,12.226597179790135,32.13546810370404
0,Marvin the Martian,0.6093142876228776,30.953179218615887,15.550062110036645,30.161824875004218,6.944792187931392,22.21825498848821,12.98074973369106,21.8968955900144
0,Road Runner,0.6312096561859513,25.28419304835148,14.241051762792628,40.66543730893015,5.641842267941891,27.90156551951096,10.978295433471182,23.633011039931358
0,Foghorn Leghorn,0.6139204063943519,29.535804967505243,15.468426016229172,35.12833865048402,6.055552466095576,21.018566771650868,15.231600357563106,29.130944062618543
0,Bugs Bunny,0.6246666292319711,31.01540584990751,16.478467752977004,38.1801495122415,4.733571746280779,18.72451475335835,13.12175058546782,29.979078995074847
0,Elmer Fudd,0.6129404869778418,27.524017504276024,15.072297882803069,36.67536520593202,5.9847615938417,19.688532582405628,15.597643505707673,31.374001532437926
0,Lola Bunny,0.6473953554672273,31.255770136662154,13.692199273354426,39.30488192542065,3.557336899655601,22.387124146817083,12.288505388979885,30.39035171411857
0,Porky Pig,0.6231421515428044,30.107948670467277,16.184713921688754,37.06555521922628,5.060588364581854,15.86343810348996,14.073332610902678,32.30980317269025
0,Tasmanian Devil,0.599210517505106,27.648521363499544,15.397416221521956,36.667043658107076,4.8666807049625165,22.240385797685718,7.410995560309174,17.754627937648923
0,Gossamer,0.6093829209495016,32.39733094584294,15.171051019168441,32.739481053530575,5.747104021148835,14.542662671466754,9.073867570961616,23.429847124458956
0,Granny,0.616359751801696,26.969080622153413,14.163634963518493,36.914483467056264,5.572831810777583,25.16495750355008,13.168224495517332,25.50153823858476
0,Wile E. Coyote,0.6285917096227582,31.59106346274145,13.692949903561106,34.728949346617505,3.9565672476694136,19.31979535628185,14.434797982488478,31.39006915982866
0,Tweety,0.6119464937343354,28.990733276322658,13.014958651290042,35.393546304044236,6.711868861758581,19.681621757094653,13.731446602261494,29.069296299649476
